CPT-log version: 5.22
======== BEGIN OF TEST ========
DATE 31.10.2022

<Transmited Data>
<NEW BUTTON 14:19:01>
[^C][CR]
[^C][CR]
[^C][CR]
CLEAR[CR]
[^C][CR]
DOFF[CR]
[^C][CR]
SCAN E[CR]
[^C][CR]
[^C][CR]
CLEAR[CR]

<START BUTTON 14:29:32>
[^C][CR]
[^C][CR]
DRON[CR]
SCAN E[CR]
[^G][^G][^G][^G]
<PAUSE BUTTON 14:47:59>
[^C][CR]
[^C][CR]
DOFF[CR]
[^C][CR]
CLEAR[CR]

<END BUTTON 14:54:49>
[^C][CR]
SCAN E[CR]
[^C][CR]


<Received Data>
<NEW BUTTON 14:19:01>

>
Reset interface. Wait time for interface: 109
>
Reset interface. Wait time for interface: 110
>
Reset interface. Wait time for interface: 109CLEAR
OK
>
Command: CLEAR Wait time for interface: 109

>
Reset interface. Wait time for interface: 110DOFF
OK
>
Command: DOFF Wait time for interface: 109

>
Reset interface. Wait time for interface: 16SCAN E
Z,0,0,0,0,0,2750
C,23158,1070,850,19,606,4152[CR],2190055203
F,15349,14965,859,20,604,4161[CR],2190055546
A,35292,15373,867,22,606,4167[CR],2190055968
C,23696,1074,875,19,605,4174[CR],2190056359
F,15410,15136,883,20,605,4186[CR],2190056734
C,24242,1060,892,22,607,4197[CR],2190057078
F,15456,15178,900,18,607,4206[CR],2190057500
A,35264,15498,908,20,609,4216[CR],2190057937
C,25268,1078,916,23,612,4231[CR],2190058265
F,15527,15183,924,19,612,4235[CR],2190058703
C,25752,1070,933,20,612,4230[CR],2190059031
F,15635,15579,941,22,611,4235[CR],2190059468
C,26064,1034,949,19,612,4255[CR],2190059796
A,35256,15675,958,21,612,4266[CR],2190060234
C,26864,1078,966,22,608,4288[CR],2190060671
F,15621,15641,974,19,609,4311[CR],2190061000
C,27572,1148,982,21,601,4348[CR],2190061437
F,15729,15941,990,22,604,4371[CR],2190061765
A,35236,15709,998,20,606,4404[CR],2190062203
C,29500,1082,1007,21,605,4426[CR],2190062531
F,15759,15694,1014,18,607,4463[CR],2190062968
C,30592,1074,1023,20,602,4489[CR],2190063406
