CPT-log version: 5.22
======== BEGIN OF TEST ========
DATE 20.09.2022

<Transmited Data>
<NEW BUTTON 13:56:24>
[^C][CR]
[^C][CR]
[^C][CR]
CLEAR[CR]
[^C][CR]
DOFF[CR]
[^C][CR]
SCANG[CR]
[^C][CR]
[^C][CR]
CLEAR[CR]

<START BUTTON 14:00:44>
[^C][CR]
[^C][CR]
DRON[CR]
SCANG[CR]

<PAUSE BUTTON 14:22:41>
[^C][CR]
[^C][CR]
DOFF[CR]
[^C][CR]
CLEAR[CR]

<END BUTTON 14:29:45>
[^C][CR]
SCANG[CR]
[^C][CR]


<Received Data>
<NEW BUTTON 13:56:24>

>
Reset interface. Wait time for interface: 94
>
Reset interface. Wait time for interface: 109
>
Reset interface. Wait time for interface: 110CLEAR
OK
>
Command: CLEAR Wait time for interface: 109

>
Reset interface. Wait time for interface: 109DOFF
OK
>
Command: DOFF Wait time for interface: 110

>
Reset interface. Wait time for interface: 109SCANG
Z,0,0,0,0
C,13262,282,0,0[CR],2422353484
F,12977,14513,0,0[CR],2422353812
C,13263,278,0,0[CR],2422354250
F,12988,14510,0,0[CR],2422354687
C,13261,274,0,0[CR],2422355015
F,13007,14505,0,0[CR],2422355453
C,13262,278,0,0[CR],2422355781
F,13014,14502,0,0[CR],2422356218
C,13261,274,0,0[CR],2422356546
F,13034,14504,0,0[CR],2422356984
A,36332,13035,0,0[CR],2422357421
F,13029,14495,0,0[CR],2422357750
C,13259,286,0,0[CR],2422358187
F,13058,14491,0,0[CR],2422358515
C,13258,274,0,0[CR],2422358953
F,13073,14482,0,0[CR],2422359281
C,13259,278,0,0[CR],2422359718
F,13080,14483,0,0[CR],2422360156
C,13258,280,0,0[CR],2422360484
F,13089,14482,0,0[CR],2422360921
C,13258,266,0,0[CR],2422361250
F,13098,14475,0,0[CR],2422361687
C,13258,274,0,0[CR],2422362015
F,13116,14476,0,0[CR],2422362453
C,13258,274,0,0[CR],2422362890
F,13121,14472,0,0[CR],2422363218
A,36304,13136,0,0[CR],2422363656
F,13115,14468,0,0[CR],2422363984
C,13256,270,0,0[CR],2422364421
F,13140,14465,0,0[CR],2422364750
C,13256,274,0,0[CR],2422365187
F,13152,14463,0,0[CR],2422365531
C,13255,274,0,0[CR],2422365968
F,13167,14460,0,0[CR],2422366296
C,13255,274,0,0[CR],2422366734
F,13173,14458,0,0[CR],2422367171
C,13256,274,0,0[CR],2422367500
F,13183,14457,0,0[CR],2422367937
C,13254,278,0,0[CR],2422368281
F,13196,14450,0,0[CR],2422368718
C,13254,274,0,0[CR],2422369046
F,13206,14447,0,0[CR],2422369484
A,36228,13206,0,0[CR],2422369921
F,13190,14450,0,0[CR],2422370250
C,13253,266,0,0[CR],2422370687
F,13223,14445,0,0[CR],2422371015
C,13252,270,0,0[CR],2422371453
F,13221,14444,0,0[CR],2422371781
C,13252,280,0,0[CR],2422372218
F,13230,14438,0,0[CR],2422372656
C,13252,276,0,0[CR],2422372984
F,13242,14437,0,0[CR],2422373421
C,13252,278,0,0[CR],2422373750
F,13250,14433,0,0[CR],2422374187
C,13250,274,0,0[CR],2422374515
F,13256,14432,0,0[CR],2422374953
C,13251,274,0,0[CR],2422375390
F,13274,14433,0,0[CR],2422375718
A,36208,13278,0,0[CR],2422376156
F,13269,14426,0,0[CR],2422376484
C,13251,282,0,0[CR],2422376921
F,13282,14420,0,0[CR],2422377250
C,13247,274,0,0[CR],2422377687
F,13292,14415,0,0[CR],2422378125
C,13247,278,0,0[CR],2422378453
F,13301,14409,0,0[CR],2422378890
C,13246,278,0,0[CR],2422379218
F,13299,14406,0,0[CR],2422379656
C,13245,276,0,0[CR],2422379984
F,13308,14399,0,0[CR],2422380421
C,13248,274,0,0[CR],2422380859
F,13326,14398,0,0[CR],2422381187
C,13245,274,0,0[CR],2422381625
F,13325,14396,0,0[CR],2422381953
A,36128,13328,0,0[CR],2422382390
F,13316,14396,0,0[CR],2422382718
C,13244,274,0,0[CR],2422383156
F,13340,14399,0,0[CR],2422383593
C,13244,274,0,0[CR],2422383921
F,13340,14388,0,0[CR],2422384359
C,13245,280,0,0[CR],2422384687
F,13357,14388,0,0[CR],2422385125
C,13244,282,0,0[CR],2422385453
F,13353,14383,0,0[CR],2422385890
C,13244,274,0,0[CR],2422386328
F,13359,14385,0,0[CR],2422386656
C,13242,274,0,0[CR],2422387093
F,13369,14380,0,0[CR],2422387421
C,13242,274,0,0[CR],2422387859
F,13371,14381,0,0[CR],2422388187
A,36068,13370,0,0[CR],2422388625
F,13362,14376,0,0[CR],2422389062
C,13243,270,0,0[CR],2422389390
F,13377,14375,0,0[CR],2422389828
C,13242,286,0,0[CR],2422390156
F,13389,14375,0,0[CR],2422390593
C,13240,278,0,0[CR],2422390921
F,13397,14370,0,0[CR],2422391359
C,13241,274,0,0[CR],2422391796
F,13400,14367,0,0[CR],2422392125
C,13240,274,0,0[CR],2422392562
F,13406,14374,0,0[CR],2422392890
C,13241,274,0,0[CR],2422393328
F,13412,14369,0,0[CR],2422393656
C,13241,274,0,0[CR],2422394093
F,13420,14371,0,0[CR],2422394531
A,36088,13424,0,0[CR],2422394859
F,13408,14369,0,0[CR],2422395296
C,13241,274,0,0[CR],2422395625
F,13420,14366,0,0[CR],2422396062
C,13241,278,0,0[CR],2422396390
F,13432,14370,0,0[CR],2422396828
C,13240,278,0,0[CR],2422397265
F,13442,14366,0,0[CR],2422397593
C,13242,274,5,24[CR],2422398031
F,13431,16103,13,19[CR],2422398359
C,14290,274,22,21[CR],2422398796
F,13403,15807,30,22[CR],2422399125
C,14131,274,38,19[CR],2422399562
F,13522,15730,46,21[CR],2422400000
C,13688,274,54,22[CR],2422400328
F,13585,15583,62,19[CR],2422400765
A,36020,13615,70,21[CR],2422401093
F,13601,15374,77,18[CR],2422401531
C,13387,278,86,19[CR],2422401859
F,13623,15357,94,22[CR],2422402296
C,13489,292,101,17[CR],2422402734
F,13765,15226,110,20[CR],2422403062
C,13548,322,118,22[CR],2422403500
F,13842,14849,126,19[CR],2422403828
C,13383,292,134,21[CR],2422404265
F,13899,14678,142,22[CR],2422404593
C,13198,322,150,19[CR],2422405031
F,13938,14577,158,21[CR],2422405468
C,13069,350,166,16[CR],2422405796
F,13987,14594,174,20[CR],2422406234
C,12980,352,182,22[CR],2422406562
F,14051,14742,190,20[CR],2422407000
A,35940,14088,199,20[CR],2422407328
F,14095,14656,206,22[CR],2422407765
C,12921,370,214,19[CR],2422408203
